"";"TRIMESTRE";"TXCHOMAGE";"IDBANK";"AGE"
"422";2007-07-01;18;"001688536";"15-24 ans"
"423";2007-04-01;19,2;"001688536";"15-24 ans"
"424";2007-01-01;20,4;"001688536";"15-24 ans"
"425";2006-10-01;20,9;"001688536";"15-24 ans"
"426";2006-07-01;21;"001688536";"15-24 ans"
"427";2006-04-01;21,5;"001688536";"15-24 ans"
"428";2006-01-01;21,9;"001688536";"15-24 ans"
"429";2005-10-01;20,8;"001688536";"15-24 ans"
"430";2005-07-01;21;"001688536";"15-24 ans"
"431";2005-04-01;19,6;"001688536";"15-24 ans"
"432";2005-01-01;19,7;"001688536";"15-24 ans"
"433";2004-10-01;19,9;"001688536";"15-24 ans"
"434";2004-07-01;20;"001688536";"15-24 ans"
"435";2004-04-01;19,5;"001688536";"15-24 ans"
"436";2004-01-01;19,6;"001688536";"15-24 ans"
"437";2003-10-01;19,4;"001688536";"15-24 ans"
"438";2003-07-01;18;"001688536";"15-24 ans"
"439";2003-04-01;18,3;"001688536";"15-24 ans"
"440";2003-01-01;17,1;"001688536";"15-24 ans"
"441";2002-10-01;16,7;"001688536";"15-24 ans"
"442";2002-07-01;16,3;"001688536";"15-24 ans"
"443";2002-04-01;15,9;"001688536";"15-24 ans"
"444";2002-01-01;15,7;"001688536";"15-24 ans"
"445";2001-10-01;15,7;"001688536";"15-24 ans"
"446";2001-07-01;15,3;"001688536";"15-24 ans"
"447";2001-04-01;15;"001688536";"15-24 ans"
"448";2001-01-01;15;"001688536";"15-24 ans"
"449";2000-10-01;15,2;"001688536";"15-24 ans"
"450";2000-07-01;15,7;"001688536";"15-24 ans"
"451";2000-04-01;16,2;"001688536";"15-24 ans"
"452";2000-01-01;17,1;"001688536";"15-24 ans"
"453";1999-10-01;18,5;"001688536";"15-24 ans"
"454";1999-07-01;19,9;"001688536";"15-24 ans"
"455";1999-04-01;21;"001688536";"15-24 ans"
"456";1999-01-01;21,3;"001688536";"15-24 ans"
"457";1998-10-01;20,7;"001688536";"15-24 ans"
"458";1998-07-01;20,4;"001688536";"15-24 ans"
"459";1998-04-01;20,2;"001688536";"15-24 ans"
"460";1998-01-01;20,4;"001688536";"15-24 ans"
"461";1997-10-01;21,1;"001688536";"15-24 ans"
"462";1997-07-01;21,5;"001688536";"15-24 ans"
"463";1997-04-01;22,1;"001688536";"15-24 ans"
"464";1997-01-01;22,4;"001688536";"15-24 ans"
"465";1996-10-01;22;"001688536";"15-24 ans"
"466";1996-07-01;21,6;"001688536";"15-24 ans"
"467";1996-04-01;21,2;"001688536";"15-24 ans"
"468";1996-01-01;20,4;"001688536";"15-24 ans"
